Market,Year,Month,Listing Rate,Total Vacancy Rate
Washington DC,2020,7,40.17,15.2
Tampa,2020,7,29.37,11.6
San Francisco,2020,7,63.63,8.5
Seattle,2020,7,37.64,9.1
Brooklyn,2020,7,50.97,13.1
National,2023,1,38.04,16.6
Orlando,2023,1,24.74,16.0
Seattle,2023,1,38.49,18.5
Philadelphia,2023,1,31.42,14.1
San Diego,2023,1,43.83,14.1
San Francisco,2023,1,67.43,18.8
Charlotte,2023,1,34.05,13.2
Miami,2023,1,47.24,11.7
Atlanta,2023,1,30.38,20.0
Nashville,2023,1,31.68,18.0
Chicago,2023,1,27.8,19.4
Portland,2023,1,30.91,17.3
Phoenix,2023,1,27.63,17.0
Bay Area,2023,1,57.06,17.9
Manhattan,2023,1,75.74,15.4
Los Angeles,2023,1,42.65,14.7
Twin Cities,2023,1,25.85,15.1
Denver,2023,1,29.87,18.3
Houston,2023,1,29.54,26.0
New Jersey,2023,1,32.63,17.1
Washington DC,2023,1,40.53,13.8
Tampa,2023,1,28.11,16.3
Dallas,2023,1,28.18,17.9
Austin,2023,1,41.33,19.1
Boston,2023,1,36.34,9.5
Brooklyn,2023,1,40.76,19.7
National,2019,11,37.77,13.6
Tampa,2019,11,31.42,11.7
San Francisco,2019,11,70.85,7.8
Brooklyn,2019,11,59.54,12.1
Manhattan,2019,11,85.25,7.6
Bay Area,2019,11,47.45,14.1
Miami,2019,11,41.78,13.0
Twin Cities,2019,11,27.49,12.0
Atlanta,2019,11,27.2,16.3
Austin,2019,11,40.88,8.4
San Diego,2019,11,38.4,12.1
Phoenix,2019,11,27.33,18.2
Dallas,2019,11,28.56,17.8
Houston,2019,11,29.41,21.7
Los Angeles,2019,11,38.76,12.6
Charlotte,2019,11,28.2,11.0
Nashville,2019,11,30.47,11.5
Washington DC,2019,11,38.95,14.6
Philadelphia,2019,11,28.98,13.5
New Jersey,2019,11,31.96,21.0
Denver,2019,11,28.11,13.0
Portland,2019,11,29.16,11.8
Orlando,2019,11,21.15,12.5
Seattle,2019,11,37.45,8.2
Chicago,2019,11,28.32,14.8
Boston,2019,11,34.74,10.1
National,2022,1,38.62,15.7
Los Angeles,2022,1,41.62,13.5
Bay Area,2022,1,55.79,16.2
Tampa,2022,1,29.7,16.5
Miami,2022,1,43.43,13.4
Denver,2022,1,30.25,16.3
Austin,2022,1,43.7,16.3
Boston,2022,1,34.81,10.7
Philadelphia,2022,1,29.6,14.1
Washington DC,2022,1,42.01,16.5
Orlando,2022,1,22.13,16.9
Nashville,2022,1,30.9,18.6
Phoenix,2022,1,28.01,14.9
New Jersey,2022,1,33.14,17.1
San Diego,2022,1,38.9,13.7
Dallas,2022,1,28.66,17.6
Portland,2022,1,29.97,14.1
Atlanta,2022,1,27.64,21.7
Charlotte,2022,1,29.0,14.7
Chicago,2022,1,28.12,19.6
Houston,2022,1,30.18,24.3
Twin Cities,2022,1,26.8,14.4
San Francisco,2022,1,69.18,15.9
Manhattan,2022,1,83.52,12.8
Seattle,2022,1,35.79,17.0
Brooklyn,2022,1,48.08,17.7
National,2020,1,37.85,13.8
Manhattan,2020,1,84.46,8.0
Austin,2020,1,42.04,8.3
Tampa,2020,1,29.91,11.6
Brooklyn,2020,1,56.28,12.6
Bay Area,2020,1,49.16,13.6
Miami,2020,1,41.68,13.3
San Francisco,2020,1,71.26,7.7
Atlanta,2020,1,27.46,16.2
San Diego,2020,1,37.99,11.5
Charlotte,2020,1,28.29,10.7
Los Angeles,2020,1,39.14,12.5
Twin Cities,2020,1,26.7,12.1
Portland,2020,1,29.68,12.2
Denver,2020,1,28.36,12.7
Houston,2020,1,29.45,21.9
Washington DC,2020,1,39.08,15.6
Orlando,2020,1,21.61,13.2
Nashville,2020,1,29.9,11.6
Phoenix,2020,1,27.06,18.5
Dallas,2020,1,27.71,17.7
Philadelphia,2020,1,28.62,13.2
New Jersey,2020,1,31.03,21.4
Seattle,2020,1,37.14,8.2
Chicago,2020,1,28.35,15.7
Boston,2020,1,37.17,10.1
National,2020,10,38.11,13.4
Bay Area,2020,10,54.89,12.6
Miami,2020,10,42.36,13.0
San Diego,2020,10,41.9,13.6
Austin,2020,10,42.63,11.0
New Jersey,2020,10,32.88,17.4
Manhattan,2020,10,86.28,9.1
Orlando,2020,10,21.45,12.7
Los Angeles,2020,10,39.2,12.7
Houston,2020,10,29.67,21.2
Charlotte,2020,10,28.74,9.7
Denver,2020,10,28.73,13.4
Philadelphia,2020,10,29.06,12.5
Washington DC,2020,10,40.12,14.6
Twin Cities,2020,10,27.05,11.4
Atlanta,2020,10,26.94,16.9
Nashville,2020,10,32.05,12.5
Phoenix,2020,10,27.37,16.7
Portland,2020,10,29.37,12.2
Chicago,2020,10,28.08,14.0
Brooklyn,2020,10,50.91,14.0
Dallas,2020,10,27.8,17.4
Seattle,2020,10,35.79,9.5
Boston,2020,10,34.84,10.4
Tampa,2020,10,27.88,12.0
San Francisco,2020,10,65.87,10.4
National,2019,1,36.23,14.0
Bay Area,2019,1,44.82,15.3
Philadelphia,2019,1,29.13,12.9
Miami,2019,1,38.41,13.4
San Francisco,2019,1,58.76,9.5
Phoenix,2019,1,27.13,17.5
Chicago,2019,1,29.77,15.5
Seattle,2019,1,37.49,9.3
Boston,2019,1,37.69,10.2
Houston,2019,1,29.03,22.1
Nashville,2019,1,28.37,11.7
Denver,2019,1,27.96,14.2
Orlando,2019,1,21.56,13.3
Twin Cities,2019,1,26.01,12.2
Los Angeles,2019,1,37.69,13.6
Tampa,2019,1,25.3,11.2
Dallas,2019,1,27.54,20.0
Charlotte,2019,1,27.24,11.3
New Jersey,2019,1,32.29,20.4
Manhattan,2019,1,74.33,9.0
San Diego,2019,1,37.02,13.1
Washington DC,2019,1,39.11,15.0
Atlanta,2019,1,25.71,16.1
Austin,2019,1,35.32,9.9
Portland,2019,1,28.22,12.9
Brooklyn,2019,1,47.87,8.6
